prompt,category,vote
"""What is your stance on climate change?"",",environment,biden
"""How do you plan to address the healthcare crisis?"",",healthcare,biden
"""What are your thoughts on immigration reform?"",",society,biden
"""How would you handle the current economic situation?"",",economy,trump
"""What is your approach to education reform?"",",education,biden
"""What measures would you take to ensure national security?"",",foreign policy,trump
"""How do you plan to tackle income inequality?"",",economy,biden
"""What are your views on gun control?"",",society,biden
"""How would you address the issue of police reform?"",",society,trump
"""What are your plans for infrastructure development?"",",infrastructure,trump
"""How do you plan to support small businesses?"",",economy,trump
"""What is your strategy for dealing with foreign policy issues?"",",foreign policy,trump
"""What are your thoughts on the role of technology in society?"",",infrastructure,biden
"""How would you handle the issue of student loan debt?"",",education,trump
"""What is your stance on LGBTQ+ rights?"",",society,biden
"""How do you plan to address racial inequality?"",",society,biden
"""What are your views on women's rights?"",",society,biden
"""How would you approach the issue of affordable housing?"",",economy,trump
"""What is your plan for tax reform?"",",economy,biden
"""What measures would you take to combat climate change?"",",environment,trump
"""What is your stance on renewable energy?"",",environment,biden
"""How do you plan to handle the issue of drug addiction?"",",society,trump
"""What are your thoughts on prison reform?"",",society,biden
"""How would you address the issue of homelessness?"",",infrastructure,biden
"""What is your approach to mental health care?"",",healthcare,biden
"""What are your views on the minimum wage?"",",economy,trump
"""How do you plan to tackle corruption in government?"",",government,biden
"""What is your stance on freedom of speech?"",",government,trump
"""How would you handle the issue of cyber security?"",",infrastructure,biden
"""What are your thoughts on net neutrality?"",",foreign policy,trump
"""How do you plan to ensure equal pay for equal work?"",",economy,biden
"""What is your strategy for dealing with pandemic response?"",",healthcare,biden
"""What measures would you take to improve public transportation?"",",infrastructure,biden
"""How do you plan to handle trade relations with other countries?"",",foreign policy,trump
"""What are your views on animal rights?"",",society,biden
"""How would you address the issue of voter suppression?"",",government,trump
"""What is your plan for dealing with climate refugees?"",",environment,biden
"""How do you plan to promote clean water initiatives?"",",environment,trump
"""What are your thoughts on military spending?"",",foreign policy,biden
"""How would you address the issue of food insecurity?"",",society,trump
"""What is your stance on universal basic income?"",",economy,biden
"""How do you plan to support veterans?"",",government,trump
"""What are your views on space exploration?"",",infrastructure,biden
"""How would you handle the issue of gerrymandering?"",",government,trump
"""What is your approach to dealing with terrorism?"",",foreign policy,biden
"""How do you plan to address the issue of fake news?"",",infrastructure,trump
"""What are your thoughts on the gig economy?"",",economy,biden
"""How would you approach the issue of political polarization?"",",government,biden
"""What is your stance on the electoral college?""",government,biden
